,alpha,beta,s,c,old_crt,new_crt,t0,kappa,F_cmoonn,L_cmoonn,Lcmonno,an_oool
442,0.13022837012804217,1.7438908685621872,0.8802432690384291,0.9899999999991091,1.0000000000064402,-4.999999999587634,699.0,37.0,0.8141564263258967,0.9899999999706188,0.14609837795655223,0.5
445,0.9999999999722633,1.0,1.0,0.9899999996780783,1.000000000538006,-5.0,699.0,37.0,0.9899999983207229,0.9899999997616321,5.258735160082167e-11,0.43182571131706
448,0.09101608617498283,1.3078807651170676,0.3762973374172603,0.19192804443645767,1.707432912000672,-2.345707058777163,699.0,37.0,0.3639646613009523,0.9311015455014585,0.3887940681732347,0.363955389124957
449,0.3357780694973155,1.958454044467957,0.1835310823288654,0.49211113708731047,1.9566300090339823,-2.599637534948233,699.0,37.0,0.5000017484380241,0.9465880988851156,0.1482806683726236,0.49999999999506883
454,0.6541575963233867,1.8396406042011495,0.999999996291952,0.7000719915712663,1.0000001279644581,-4.999420192958248,699.0,37.0,0.4260541472897818,0.9899993307123703,3.3161014631464793e-06,0.1966503083345188
455,1.0000000000000006e-05,1.9166967586228725,0.0001,0.5111152502757531,1.0,-5.0,699.0,37.0,0.989999992018171,0.99,8.072604501294817e-23,0.3577832033967962
460,0.5426767859853882,1.1475869670598422,0.6222786888599943,0.9899999961103304,1.0000000154376605,-4.9995592314968675,699.0,37.0,0.715288966902046,0.9899996832666591,9.529835918970349e-09,0.13572631560307655
469,0.3749903348345516,1.2951920201228524,0.04180893818518555,0.2077297453876399,1.8974619350517428,-4.058707984615612,699.0,37.0,0.5000001469163442,0.4786797980440322,0.03920733018489332,0.4999999999752414
473,0.7277377530814741,1.9689900904099988,0.4794952252447396,0.9899999998358326,1.0000000004187843,-4.999999679663402,699.0,37.0,0.9899999972657646,0.9298611124787767,2.228018839578045e-10,0.4710297679828894
478,0.28451476349145827,1.6672267150822997,0.10236660363756646,0.8556054087517533,1.0000002002994772,-4.9998047483152535,699.0,37.0,0.3915889515371688,0.9899993907926482,1.3818124835488351e-08,0.36003030024754323
480,0.2439980862998223,1.455260018608817,0.8008432583931087,0.99,1.0,-5.0,699.0,37.0,0.99,0.99,2.6484710198733176e-25,0.4950583456687383
487,0.1620977213804173,1.7688397584992435,0.8447335727289851,0.99,1.0,-5.0,699.0,37.0,0.5730903546694811,0.9899999999995632,0.0,0.3620131914977812
497,0.27405647298580066,2.5638004284976144,0.00010000001794813163,0.9899999999544468,1.0,-2.371767617121801,699.0,37.0,0.9899999999998775,0.99,4.968414567594333e-12,0.4453298922596705
